file,bytes,sha1,sheetId,title,records,decodedRecords,unknownRecords,recordBytes,residualBytes,unresolvedFields,engineeringObjects,functionBlocks,junctions,ioObjects,deviceTags,loopTags,irefs,orefs,connections,danglingWires,descriptions,parameters,specEntries,fcDecoded,unresolvedXrefs,trailerClean,warnings,coverage
20305T3C.CAD,5473,ceb8a37f1254,20305T3,MAIN OIL PUMP,153,153,0,4822,0,55,167,45,14,7,8,8,6,2,45,0,47,83,26,26,0,true,2,1
20305T4C.CAD,5599,ca02d97213c3,20305T4,AUXILIARY OIL PUMP,155,155,0,4958,0,61,169,47,14,7,8,8,6,2,45,0,47,81,25,25,0,true,2,1
20305T5C.CAD,2187,4f26ece18d6c,20305T5,EMERGENCY OIL PUMP,56,56,0,1806,0,14,60,13,1,3,3,3,3,0,5,0,35,16,3,3,0,true,3,1
20305T6C.CAD,5139,94e2565aea52,20305T6,TURNING DEVICE MOTOR,136,136,0,4388,0,51,148,39,12,7,7,7,5,2,34,0,49,64,17,17,0,true,3,1
20305Y1C.CAD,3534,b62528ccc040,20305Y1,POWER BOILERII,104,104,0,2786,0,51,102,23,13,0,0,0,0,0,49,0,17,87,22,21,0,true,3,1
20305Y2C.CAD,2052,c3c406989fb1,20305Y2,POWER BOILERII,56,56,0,1538,0,22,56,10,5,1,1,1,1,0,21,0,18,42,8,8,0,true,2,1
20305Y3C.CAD,1965,cf58a5f1978c,20305Y3,POWER BOILERII,50,50,0,1402,0,19,48,9,6,0,0,0,0,0,16,0,17,41,8,8,0,true,3,1
20305Y4C.CAD,1295,4e5d2ded3a8e,20305Y4,NO. 2 POWER BOILER,36,36,0,956,0,5,34,3,1,0,0,0,0,0,2,0,28,9,2,2,0,true,3,1
20305Y5C.CAD,1303,aa6dbbce5124,20305Y5,FEEDWATER CONDUCTIVITY,36,36,0,964,0,5,34,3,1,0,0,0,0,0,2,0,28,9,2,2,0,true,3,1
20305Y6C.CAD,1179,a201f1e5a9cf,20305Y6,NO. 2 POWER BOILER,30,30,0,840,0,5,28,3,1,0,0,0,0,0,2,0,22,10,2,2,0,true,3,1
20305Y7C.CAD,1488,91fe93833c8e,20305Y7,MILL EXPANSION,38,38,0,1120,0,8,40,7,0,1,2,2,1,1,6,0,23,17,4,4,0,true,2,1
20305Z1C.CAD,4056,27869a9d44a6,20305Z1C,MILL EXPANSION,115,115,0,3168,0,43,114,42,19,0,0,0,0,0,42,0,11,129,39,39,0,true,2,1
20305Z2C.CAD,5248,671127d7e424,20305Z2,MILL EXPANSION,140,140,0,4596,0,43,181,44,0,0,21,21,20,1,43,0,52,90,23,23,0,true,1,1
20305Z3C.CAD,4384,766ac178c95c,20305Z3,MILL EXPANSION,113,113,0,3768,0,41,150,40,2,0,19,19,16,3,41,0,29,82,21,21,0,true,1,1
20305Z4C.CAD,4892,7274bb568844,20305Z4,Not Connection.,64,64,0,2872,0,25,63,43,1,0,0,0,0,0,4,0,15,172,42,22,0,true,4,1
20305Z5C.CAD,7244,171aca657035,20305Z5,Not Connection.,128,128,0,4718,0,47,127,77,9,0,0,0,0,0,26,0,15,326,74,55,0,true,4,1
2531000C.CAD,3562,d0a01c14b555,2531000,PLANT LOOP,113,113,0,3020,0,42,119,12,1,0,4,4,0,4,21,0,77,59,8,7,1,true,2,1
2531001C.CAD,3638,6d3f16f250c8,2531001,INITIAL RELEASE,138,138,0,3280,0,28,146,6,0,5,5,5,5,0,27,0,103,16,1,1,0,true,2,1
2531002C.CAD,2517,387c0dfe6f5d,2531002,INITIAL RELEASE,74,74,0,2160,0,10,86,8,0,7,7,7,7,0,7,0,57,20,1,1,0,true,3,1
2531003C.CAD,3745,bfb50cc17e62,2531003,INITIAL RELEASE,139,139,0,3360,0,29,149,7,0,6,6,6,6,0,28,0,102,17,1,1,0,true,2,1
2531004C.CAD,3933,ca4ab1cfe193,2531004,INITIAL RELEASE,147,147,0,3576,0,32,157,7,0,6,6,6,6,0,28,0,110,17,1,1,0,true,3,1
2531005C.CAD,4169,fbbb1d4d883f,2531005,INITIAL RELEASE,153,153,0,3812,0,34,167,9,0,8,8,8,8,0,30,0,112,19,1,1,0,true,3,1
2531006C.CAD,3905,031bede7d35b,2531006,INITIAL RELEASE,146,146,0,3548,0,31,156,7,0,6,6,6,6,0,28,0,109,17,1,1,0,true,3,1
2531007C.CAD,3905,132b26c4d84b,2531007,INITIAL RELEASE,146,146,0,3548,0,31,156,7,0,6,6,6,6,0,28,0,109,18,1,1,0,true,3,1
2531008C.CAD,4387,7f7fc839147d,2531008,INITIAL RELEASE,153,153,0,3814,0,34,167,9,0,8,8,8,8,0,30,0,112,20,1,1,0,true,3,1
2531009C.CAD,3648,a93a64b7085e,2531009,INITIAL RELEASE,138,138,0,3290,0,28,146,6,0,5,5,5,5,0,27,0,103,17,1,1,0,true,2,1
2531010C.CAD,4057,5326901b4d30,2531010,INITIAL RELEASE,147,147,0,3576,0,32,157,7,0,6,6,6,6,0,28,0,110,18,1,1,0,true,3,1
2531011C.CAD,3961,d397b8317f17,2531011,INITIAL RELEASE,148,148,0,3604,0,33,158,7,0,6,6,6,6,0,28,0,111,18,1,1,0,true,3,1
2531012C.CAD,4241,b41e6d6206a0,2531012,INITIAL RELEASE,148,148,0,3638,0,31,160,8,0,7,7,7,7,0,29,0,109,19,1,1,0,true,2,1
2531013C.CAD,3676,627e84882f7c,2531013,INITIAL RELEASE,139,139,0,3318,0,29,147,6,0,5,5,5,5,0,27,0,104,18,1,1,0,true,2,1
